date,price,market_cap,mvrv,miner_revenue,fear_greed
2010-07-18,0.08584,295959.152,146.0383322,0.0,
2010-07-19,0.0808,279285.2,62.56512971,0.0,
2010-07-20,0.0747357288135593,259000.40498983045,45.10663005,0.0,
2010-07-21,0.0791928626534191,275266.47129701945,38.35756046,0.0,
2010-07-22,0.0584697603740503,203749.57397545307,25.1323482,0.0,
2010-07-23,0.0605928696668615,211735.7237638808,23.1909876,0.0,
2010-07-24,0.05454,191099.979,17.07191365,0.0,
2010-07-25,0.050540618351841,177670.48975406183,14.29480012,0.0,
2010-07-26,0.056,197542.8,12.57111018,0.0,
2010-07-27,0.058622016364699,207278.65656312092,12.41061061,0.0,
2010-07-28,0.0589110987726476,208769.15183050855,11.86773641,0.0,
2010-07-29,0.0699,248340.72,13.54121185,0.0,
2010-07-30,0.064657381648159,230303.12769257755,12.03290217,0.0,
2010-07-31,0.0675457989479836,241276.9711321448,12.05286591,0.0,
2010-08-01,0.0611,218982.4,10.44892297,0.0,
2010-08-02,0.06,215766.0,9.9762043,0.0,
2010-08-03,0.0600121507890123,216490.8333638224,9.60461264,0.0,
2010-08-04,0.0570157802454705,206374.31817650504,8.82883787,0.0,
2010-08-05,0.061,221460.5,9.19506028,0.0,
2010-08-06,0.0616713150204559,224350.99334716547,9.02581206,0.0,
2010-08-07,0.0590039450613676,215104.78211572167,8.42875731,0.0,
2010-08-08,0.0609,222622.995,8.47702357,0.0,
2010-08-09,0.0704,258019.52,9.28085443,0.0,
2010-08-10,0.0693387288135593,254792.092898305,8.88387323,0.0,
2010-08-11,0.067,246978.75,8.33793184,0.0,
2010-08-12,0.07,258797.0,8.49787609,0.0,
2010-08-13,0.0645,239156.325,7.56762836,0.0,
2010-08-14,0.0669964336645237,249354.02645599077,7.65189676,0.0,
2010-08-15,0.0651179322033898,243036.4024661016,7.26649664,0.0,
2010-08-16,0.0655,244943.8,7.13837504,0.0,
2010-08-17,0.07,262223.5,7.50985867,0.0,
2010-08-18,0.068,255183.6,7.14796434,472.6092,
2010-08-19,0.0667,250755.315,6.93168437,479.5,
2010-08-20,0.0655,246876.05,6.69412905,682.5,
2010-08-21,0.0664,250842.6,6.61775626,605.5,
2010-08-22,0.0659289888953828,249762.08508182343,6.41568722,742.0,
2010-08-23,0.06491,246593.09,6.22495622,752.5,
2010-08-24,0.065,247633.75,6.13247009,759.556,
2010-08-25,0.0648,247571.64,6.02386076,770.0,
2010-08-26,0.0640751139684395,245474.96536879012,5.87469011,1008.0,
2010-08-27,0.065,249574.0,5.87209239,598.5,
2010-08-28,0.0646,248587.26,5.77497614,595.000000077,
2010-08-29,0.064,246796.8,5.66272908,498.0144,
2010-08-30,0.06497,251021.3405,5.69050244,535.5252,
2010-08-31,0.06,232371.0,5.19159819,644.014000021,
2010-09-01,0.0620248275862069,240699.74841379313,5.31891315,471.004800012,
2010-09-02,0.0634,246530.9,5.38522542,498.0,
2010-09-03,0.06085,237114.195,5.12179597,504.0,
2010-09-04,0.062178275862069,242852.800948276,5.18235949,543.0,
2010-09-05,0.06165,241298.1,5.06897347,495.0006,
2010-09-06,0.0616,241589.04,5.03207272,486.000000006,
2010-09-07,0.0612391180596142,240663.61006247785,4.94816313,534.0,
2010-09-08,0.061,240227.15,4.88836125,513.000000024,
2010-09-09,0.0611149707773232,241092.44821946227,4.79545778,411.006600006,
2010-09-10,0.0610115242548218,241224.31402250167,4.74669508,549.000000006,
2010-09-11,0.0636208649912332,252049.9618790181,4.91061134,492.0,
2010-09-12,0.0615,244191.9,4.69699949,531.009,
2010-09-13,0.06218,247423.547,4.70641545,519.000000006,
2010-09-14,0.06199,247296.707,4.64512859,609.0005762112,
2010-09-15,0.0604,241464.1,4.45428881,760.5,
2010-09-16,0.0619,248138.53,4.47633904,1702.5,
2010-09-17,0.0600005260081823,241148.11407948547,4.19274776,642.0,
2010-09-18,0.061,245887.95,4.22048014,711.0108,
2010-09-19,0.0627,253395.78,4.29534109,645.0,
2010-09-20,0.0621017358270018,251608.28778988915,4.22043399,615.0,
2010-09-21,0.06265,254368.3975,4.22602175,522.000000006,
2010-09-22,0.061881870251315,251788.04777206303,4.14162414,522.0,
2010-09-23,0.062153512565751,253620.51570017525,4.11497371,708.0,
2010-09-24,0.0622,254519.29,4.07954667,690.0,
2010-09-25,0.06202,254424.646,4.03278411,621.0,
2010-09-26,0.062,254978.1,4.00070639,621.0,
2010-09-27,0.0622004418468732,256514.62217650507,3.91751164,687.0012,
2010-09-28,0.0619038977206312,255947.85551572172,3.70318762,912.0864,
2010-09-29,0.06191,256480.748,3.67369778,498.0,
2010-09-30,0.0619,256891.19,3.58697479,438.0,
2010-10-01,0.0619733138515488,257672.6443319696,3.57218676,468.0336,
2010-10-02,0.0614,255595.92,3.26607208,300.0004660878,
2010-10-03,0.0610648684979544,254573.3302811221,3.2380791,372.000465975,
2010-10-04,0.0612944769140853,255999.44755552293,3.23417646,477.0000000594,
2010-10-05,0.0614,256826.99,3.17003606,378.0,
2010-10-06,0.06281,263261.834,3.22421336,519.0000000654,
2010-10-07,0.067,281359.8,3.40312006,486.0,
2010-10-08,0.0844531081239041,355302.6711880769,4.14833833,546.0,
2010-10-09,0.0938,395367.0,4.40766563,790.0,
2010-10-10,0.0971462010520164,410335.8386236121,4.45879954,1080.0,
2010-10-11,0.095,402025.75,4.28117529,966.0000001308,
2010-10-12,0.0949,402338.04,4.2360293,978.0,
2010-10-13,0.104865589129164,445510.96885634033,4.55044647,890.035,
2010-10-14,0.102,434382.3,4.35844526,1035.0,
2010-10-15,0.105,448087.5,4.34353862,1006.5,
2010-10-16,0.101,432320.4,4.06985428,1584.0,
2010-10-17,0.102,437977.8,4.06277933,1529.0,
2010-10-18,0.1024,440970.24,4.02994877,1305.002,
2010-10-19,0.0975448918760959,421311.0197466396,3.80761656,1300.0,
2010-10-20,0.099,428902.65,3.8186494,1560.0,
2010-10-21,0.107,464556.55,4.00919854,930.000776615,
2010-10-22,0.1025,445808.375,3.82096178,858.0,
2010-10-23,0.104556424313267,455667.3527996489,3.85485171,1325.5055,
2010-10-24,0.11501,502403.9335,4.14384219,1345.5,
2010-10-25,0.139118552893045,609130.5838421975,4.88883386,1845.0,
2010-10-26,0.151,662973.05,5.14523738,1992.0,
2010-10-27,0.1877,826105.24,6.05058402,2080.5,
2010-10-28,0.1731,763743.165,5.2615273,2118.5,
2010-10-29,0.19,840427.0,5.63366942,2175.5,
2010-10-30,0.197610543541789,876580.6100970218,5.72124637,2489.0,
2010-10-31,0.1925,855633.625,5.43761091,1738.5,
2010-11-01,0.194525061367621,866356.2658129736,5.41406405,1790.0,
2010-11-02,0.1938,864832.5,5.28311477,1780.0,
2010-11-03,0.1931,863543.2,5.18370173,2037.0,
2010-11-04,0.229275160724722,1027622.7341262402,5.7153824,2794.5,
2010-11-05,0.259112413793104,1164192.0751724162,6.25148898,2724.0,
2010-11-06,0.400982302746932,1805984.193341907,8.19405221,2750.0,
2010-11-07,0.34,1535423.0,6.73312638,4233.0,
2010-11-08,0.243184628872005,1101553.413401521,4.59520726,6509.8901,
2010-11-09,0.217272694330801,986537.5322437184,4.06257605,3978.0,
2010-11-10,0.229549731151373,1044611.9615505532,4.25825739,3248.0,
2010-11-11,0.2231,1017704.115,4.10381259,2847.0,
2010-11-12,0.2682,1225700.82,4.88620474,2124.0,
2010-11-13,0.276,1264425.0,4.93212505,2977.0,
2010-11-14,0.27904,1281895.808,4.88743661,4170.0,
2010-11-15,0.268464555815313,1235997.3917459103,4.51276218,3060.144,
2010-11-16,0.225,1038105.0,3.76028119,2870.0,
2010-11-17,0.241939333722969,1119247.648702513,4.00641517,3654.0,
2010-11-18,0.269057790765634,1248159.091361776,4.39720823,3738.0,
2010-11-19,0.27829,1293074.485,4.48312449,2233.0232,
2010-11-20,0.283015964932788,1316675.1736568096,4.49841005,1652.2828,
2010-11-21,0.27675,1289461.275,4.36944711,2088.3016,
2010-11-22,0.285,1330223.25,4.46021601,2450.6624,
2010-11-23,0.28295,1322635.6275,4.38599831,2016.1372,
2010-11-24,0.282905736411455,1324932.4353357672,4.33600482,2595.558,
2010-11-25,0.28,1313858.0,4.23185505,2562.0,
2010-11-26,0.2844,1337263.02,4.23141948,2828.1036,
2010-11-27,0.283,1333227.15,4.17587813,2668.0058,
2010-11-28,0.271358679135009,1280717.9899795451,3.97931625,2436.0,
2010-11-29,0.230559456458212,1090569.2849929885,3.37289742,3066.0084,
2010-11-30,0.2082,986909.64,3.0371558,2968.0028,
2010-12-01,0.2275,1080534.0,3.31113157,2522.0104,
2010-12-02,0.255,1213545.0,3.6445754,2185.0138,
2010-12-03,0.251060083576856,1197167.4555320588,3.57134671,2412.5025,
2010-12-04,0.205000526008182,979882.0142665091,2.90733946,3185.0028358902,
2010-12-05,0.202850017533606,972026.8565184099,2.86401711,3112.5075,
2010-12-06,0.204,979995.6,2.83306957,2863.5103930399,
2010-12-07,0.233420385739334,1124117.5646627715,3.1967626,2863.5188936651,
2010-12-08,0.2388,1152866.7,3.24906898,2806.0092,
2010-12-09,0.199991694330801,967739.8096973128,2.71091675,2837.50997886,
2010-12-10,0.204,988635.0,2.7619015,1713.5161,
2010-12-11,0.228,1106940.0,3.07070131,1900.5246220758,
2010-12-12,0.219853611922852,1069269.034267387,2.94969685,2081.5364720476,
2010-12-13,0.227605236703682,1108574.0658889536,3.03156879,1644.5716395904,
2010-12-14,0.24669,1203637.5135,3.26966627,1932.0112523797,
2010-12-15,0.24,1173348.0,3.15229808,3783.5155090196,
2010-12-16,0.24996,1224204.096,3.26455554,2187.525892365,
2010-12-17,0.242655815312683,1190445.1643424917,3.15712017,2100.058608235,
2010-12-18,0.241,1184261.95,3.11960091,2037.51663391,
2010-12-19,0.2401,1182048.315,3.09706546,2700.0314112975,
2010-12-20,0.267,1316603.7,3.39996207,2145.0174182242,
2010-12-21,0.241436002337814,1192911.1439509052,3.01272532,3456.0297,
2010-12-22,0.25,1237187.5,3.10757151,2281.5479062404,
2010-12-23,0.249970127995324,1238851.9543448256,3.09503865,1911.0156,
2010-12-24,0.248,1230923.2,3.05891168,1850.01957332,
2010-12-25,0.2499,1242452.82,3.06790542,2100.01685763,
2010-12-26,0.264962127410871,1319259.6804850972,3.23677185,1837.5264112975,
