date,mvrv_zscore_raw,mvrv_zscore,mvrv_zscore_sell,ma_200w_raw,ma_200w,ma_200w_sell,monthly_rsi_raw,monthly_rsi,monthly_rsi_sell,pi_cycle_raw,pi_cycle,pi_cycle_sell,puell_raw,puell,puell_sell,fear_greed_raw,fear_greed,fear_greed_sell
2010-07-18,58.4543449675222,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-19,24.58493176585316,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-20,17.501111794568644,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-21,14.762663767515727,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-22,9.396508338563773,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-23,8.608797523913799,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-24,6.125971445101891,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-25,4.999152264218256,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-26,4.299761740458083,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-27,4.2346387298047965,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-28,4.014366474184458,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-29,4.69338236754251,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-30,4.081382800446504,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-07-31,4.089483126526502,0,100,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-01,3.4386801793978368,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-02,3.2468736656332364,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-03,3.0960996315791114,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-04,2.781327519658433,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-05,2.929922970150308,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-06,2.8612501778549158,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-07,2.618994059381544,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-08,2.638578187639173,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-09,2.9647341122888173,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-10,2.8036582233206766,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-11,2.582141449431251,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-12,2.6470391379215186,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-13,2.2695893239999885,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
2010-08-14,2.303781390127863,0,0,,50,0,,50,0,,50,0,,50,0,,50,0
