date,mvrv_zscore_raw,mvrv_zscore,mvrv_zscore_sell,ma_200w_raw,ma_200w,ma_200w_sell,monthly_rsi_raw,monthly_rsi,monthly_rsi_sell,eth_btc_ratio_raw,eth_btc_ratio,eth_btc_ratio_sell,mayer_multiple_raw,mayer_multiple,mayer_multiple_sell,fear_greed_raw,fear_greed,fear_greed_sell
2015-08-08,7.6584973162646595,0,100,,50,0,,50,0,-1.6448650046180462,100,0,,50,0,,50,0
2015-08-09,6.10812296792789,0,100,,50,0,,50,0,-1.6484879966361616,100,0,,50,0,,50,0
2015-08-10,5.665741427539554,0,100,,50,0,,50,0,-1.6474550791640377,100,0,,50,0,,50,0
2015-08-11,4.3092566035875945,0,100,,50,0,,50,0,-1.685363298580174,100,0,,50,0,,50,0
2015-08-12,5.80090169608887,0,100,,50,0,,50,0,-1.6356827056835723,100,0,,50,0,,50,0
2015-08-13,8.180137529459492,0,100,,50,0,,50,0,-1.5360857888376591,100,0,,50,0,,50,0
2015-08-14,7.058115311409101,0,100,,50,0,,50,0,-1.5524809578822225,100,0,,50,0,,50,0
2015-08-15,5.313824830592889,0,100,,50,0,,50,0,-1.5496981754092254,100,0,,50,0,,50,0
2015-08-16,4.225759990106905,0,100,,50,0,,50,0,-1.5876584139732506,100,0,,50,0,,50,0
2015-08-17,4.270442939356582,0,100,,50,0,,50,0,-1.6261777590514455,100,0,,50,0,,50,0
2015-08-18,3.1332394797899497,50,100,,50,0,,50,0,-1.6282668747740792,100,0,,50,0,,50,0
2015-08-19,3.7000214084138516,0,100,,50,0,,50,0,-1.6075781298613676,100,0,,50,0,,50,0
2015-08-20,4.571616696633509,0,100,,50,0,,50,0,-1.5644259761461385,100,0,,50,0,,50,0
2015-08-21,4.208897385153572,0,100,,50,0,,50,0,-1.577039727190705,100,0,,50,0,,50,0
2015-08-22,3.981573294448733,0,100,,50,0,,50,0,-1.581241570575299,100,0,,50,0,,50,0
2015-08-23,3.726371517972299,0,100,,50,0,,50,0,-1.5883959578670386,100,0,,50,0,,50,0
2015-08-24,3.291271623015832,50,100,,50,0,,50,0,-1.5910863814815694,100,0,,50,0,,50,0
2015-08-25,3.361612390080186,50,100,,50,0,,50,0,-1.5967505905475705,100,0,,50,0,,50,0
2015-08-26,2.98653703919378,50,0,,50,0,,50,0,-1.6178399242743888,100,0,,50,0,,50,0
2015-08-27,2.8169638068086162,50,0,,50,0,,50,0,-1.6249856241061709,100,0,,50,0,,50,0
2015-08-28,3.3879845355412934,50,100,,50,0,,50,0,-1.6023999580377224,100,0,,50,0,,50,0
2015-08-29,2.911609366637921,50,0,,50,0,,50,0,-1.6216470249971213,100,0,,50,0,,50,0
2015-08-30,3.403151871406014,50,100,,50,0,,50,0,-1.5944097791270264,100,0,,50,0,,50,0
2015-08-31,3.343078202055296,50,100,,50,0,,50,0,-1.5987161999340969,100,0,,50,0,,50,0
2015-09-01,3.4228619378247713,50,100,,50,0,,50,0,-1.5857119202919872,100,0,,50,0,,50,0
2015-09-02,3.244105062524987,50,100,,50,0,,50,0,-1.5971253305716488,100,0,,50,0,,50,0
2015-09-03,2.958730600548959,50,0,,50,0,,50,0,-1.608680202258237,100,0,,50,0,,50,0
2015-09-04,2.9396312999096086,50,0,,50,0,,50,0,-1.6127905982463848,100,0,,50,0,,50,0
2015-09-05,3.3919199380542464,50,100,,50,0,,50,0,-1.5938273168714245,100,0,,50,0,,50,0
2015-09-06,3.286069912402387,50,100,,50,0,,50,0,-1.6029643712701247,100,0,,50,0,,50,0
2015-09-07,3.0448649047025174,50,100,,50,0,,50,0,-1.6142940693450682,100,0,,50,0,,50,0
2015-09-08,2.978744253639146,50,0,,50,0,,50,0,-1.6197310469906019,100,0,,50,0,,50,0
2015-09-09,2.598406481680487,50,0,,50,0,,50,0,-1.6242823153862311,100,0,,50,0,,50,0
2015-09-10,2.513827444722278,50,0,,50,0,,50,0,-1.628682259047321,100,0,,50,0,,50,0
2015-09-11,1.5905476343623663,50,0,,50,0,,50,0,-1.6765758547838447,100,0,,50,0,,50,0
2015-09-12,2.3422633493186766,50,0,,50,0,,50,0,-1.6336643249954423,100,0,,50,0,,50,0
2015-09-13,1.4150655829678076,50,0,,50,0,,50,0,-1.6770392348673653,100,0,,50,0,,50,0
2015-09-14,1.6661933301333554,50,0,,50,0,,50,0,-1.66440442840596,100,0,,50,0,,50,0
2015-09-15,2.04517479400219,50,0,,50,0,,50,0,-1.6649127240534791,100,0,,50,0,,50,0
2015-09-16,1.9831380385586956,50,0,,50,0,,50,0,-1.666427336753933,100,0,,50,0,,50,0
2015-09-17,1.7390589956761533,50,0,,50,0,,50,0,-1.6808659749550579,100,0,,50,0,,50,0
2015-09-18,1.6455033020278391,50,0,,50,0,,50,0,-1.6850383473403583,100,0,,50,0,,50,0
2015-09-19,1.7544802600822071,50,0,,50,0,,50,0,-1.678590514467192,100,0,,50,0,,50,0
2015-09-20,1.970651072888142,50,0,,50,0,,50,0,-1.6672930610992003,100,0,,50,0,,50,0
2015-09-21,1.9623986617195321,50,0,,50,0,,50,0,-1.6637552090388223,100,0,,50,0,,50,0
2015-09-22,1.4236319112115112,50,0,,50,0,,50,0,-1.691945483840535,100,0,,50,0,,50,0
2015-09-23,1.831894104994286,50,0,,50,0,,50,0,-1.672178052982098,100,0,,50,0,,50,0
2015-09-24,1.3880300055761612,50,0,,50,0,,50,0,-1.6953912878804454,100,0,,50,0,,50,0
2015-09-25,0.8822474604789776,50,0,,50,0,,50,0,-1.7176216356999496,100,0,,50,0,,50,0
2015-09-26,1.2377807987846141,50,0,,50,0,,50,0,-1.700998969875883,100,0,,50,0,,50,0
2015-09-27,0.9409816150915856,50,0,,50,0,,50,0,-1.7129987612425797,100,0,,50,0,,50,0
2015-09-28,0.5305900346245905,50,0,,50,0,,50,0,-1.733934025466719,100,0,,50,0,,50,0
2015-09-29,0.8394325094800236,50,0,,50,0,,50,0,-1.7186916248813615,100,0,,50,0,,50,0
2015-09-30,0.9629545899510839,50,0,,50,0,0.0,100,0,-1.7125686451037234,100,0,,50,0,,50,0
2015-10-01,0.7179212652870659,50,0,,50,0,0.0,100,0,-1.724008970420971,100,0,,50,0,,50,0
2015-10-02,0.7540732434317057,50,0,,50,0,0.0,100,0,-1.7220667950188284,100,0,,50,0,,50,0
2015-10-03,0.8145376117429939,50,0,,50,0,0.0,100,0,-1.7202910945900667,100,0,,50,0,,50,0
2015-10-04,0.7578175936372796,50,0,,50,0,0.0,100,0,-1.73275125445187,100,0,,50,0,,50,0
2015-10-05,0.7491336775541889,50,0,,50,0,0.0,100,0,-1.7337225420320004,100,0,,50,0,,50,0
2015-10-06,0.9379088614450701,50,0,,50,0,0.0,100,0,-1.7287990407508775,100,0,,50,0,,50,0
2015-10-07,0.709197935534086,50,0,,50,0,0.0,100,0,-1.736326115292791,100,0,,50,0,,50,0
2015-10-08,0.850008900510707,50,0,,50,0,0.0,100,0,-1.7300420697591408,100,0,,50,0,,50,0
2015-10-09,0.8493014655296164,50,0,,50,0,0.0,100,0,-1.7304480855823918,100,0,,50,0,,50,0
2015-10-10,0.8456114831556428,50,0,,50,0,0.0,100,0,-1.7311323713174624,100,0,,50,0,,50,0
2015-10-11,0.6800994573174146,50,0,,50,0,0.0,100,0,-1.7384861541684151,100,0,,50,0,,50,0
2015-10-12,0.8065744518770009,50,0,,50,0,0.0,100,0,-1.7321010352391746,100,0,,50,0,,50,0
2015-10-13,0.6706417235261888,50,0,,50,0,0.0,100,0,-1.738890494101203,100,0,,50,0,,50,0
2015-10-14,0.11880127135909334,50,0,,50,0,0.0,100,0,-1.7600824188077475,100,0,,50,0,,50,0
2015-10-15,0.6196003506603579,50,0,,50,0,0.0,100,0,-1.7476515405544983,100,0,,50,0,,50,0
2015-10-16,0.44231221468229875,50,0,,50,0,0.0,100,0,-1.7562468952848138,100,0,,50,0,,50,0
2015-10-17,0.4285224665076311,50,0,,50,0,0.0,100,0,-1.759468051659937,100,0,,50,0,,50,0
