date,mvrv_zscore_raw,mvrv_zscore,ma_200w_ratio_raw,ma_200w,monthly_rsi_raw,monthly_rsi,pi_cycle_ratio_raw,pi_cycle,puell_raw,puell,fear_greed_raw,fear_greed
2010-07-18,58.417441575350125,0,,50,,50,,50,,50,,50
2010-07-19,24.569165925398618,0,,50,,50,,50,,50,,50
2010-07-20,17.48976689315161,0,,50,,50,,50,,50,,50
2010-07-21,14.753027903289656,0,,50,,50,,50,,50,,50
2010-07-22,9.390221436636766,0,,50,,50,,50,,50,,50
2010-07-23,8.603002224187987,0,,50,,50,,50,,50,,50
2010-07-24,6.121725651543608,0,,50,,50,,50,,50,,50
2010-07-25,4.995609706897648,0,,50,,50,,50,,50,,50
2010-07-26,4.296655665555364,0,,50,,50,,50,,50,,50
2010-07-27,4.231573297501862,0,,50,,50,,50,,50,,50
2010-07-28,4.011438511526108,0,,50,,50,,50,,50,,50
2010-07-29,4.690030638063122,0,,50,,50,,50,,50,,50
2010-07-30,4.0784130135896115,0,,50,,50,,50,,50,,50
2010-07-31,4.086508284339585,0,,50,,50,,50,,50,,50
2010-08-01,3.4361114966229813,0,,50,,50,,50,,50,,50
2010-08-02,3.2444246873268443,0,,50,,50,,50,,50,,50
2010-08-03,3.0937447497934802,0,,50,,50,,50,,50,,50
2010-08-04,2.7791690839037777,0,,50,,50,,50,,50,,50
2010-08-05,2.9276717975064406,0,,50,,50,,50,,50,,50
2010-08-06,2.8590418631929713,0,,50,,50,,50,,50,,50
2010-08-07,2.6169369342664224,0,,50,,50,,50,,50,,50
2010-08-08,2.636508840271442,0,,50,,50,,50,,50,,50
2010-08-09,2.9624612143699087,0,,50,,50,,50,,50,,50
2010-08-10,2.801485851204008,0,,50,,50,,50,,50,,50
2010-08-11,2.5801073236501924,0,,50,,50,,50,,50,,50
2010-08-12,2.6449645101619157,0,,50,,50,,50,,50,,50
2010-08-13,2.2677502587792184,0,,50,,50,,50,,50,,50
2010-08-14,2.3019209859910092,0,,50,,50,,50,,50,,50
2010-08-15,2.1456417357867634,0,,50,,50,,50,,50,,50
2010-08-16,2.093688592692339,0,,50,,50,,50,,50,,50
2010-08-17,2.2443247242004234,0,,50,,50,,50,,50,,50
2010-08-18,2.097577041440055,0,,50,,50,,50,,50,,50
2010-08-19,2.009875793329918,0,,50,,50,,50,,50,,50
2010-08-20,1.913547418311172,0,,50,,50,,50,,50,,50
2010-08-21,1.8825783507426241,0,,50,,50,,50,,50,,50
2010-08-22,1.8006396163678355,0,,50,,50,,50,,50,,50
2010-08-23,1.7232984425490367,0,,50,,50,,50,,50,,50
2010-08-24,1.6857954364506147,0,,50,,50,,50,,50,,50
2010-08-25,1.6417544936050714,0,,50,,50,,50,,50,,50
2010-08-26,1.581265987959355,0,,50,,50,,50,,50,,50
2010-08-27,1.5802126158591057,0,,50,,50,,50,,50,,50
2010-08-28,1.5408321020890319,0,,50,,50,,50,,50,,50
2010-08-29,1.495316064433333,50,,50,,50,,50,,50,,50
2010-08-30,1.5065781259927653,0,,50,,50,,50,,50,,50
2010-08-31,1.3042730978736465,50,,50,0.0,100,,50,,50,,50
2010-09-01,1.355899149491336,50,,50,0.0,100,,50,,50,,50
2010-09-02,1.382788689211618,50,,50,0.0,100,,50,,50,,50
2010-09-03,1.275968387942078,50,,50,0.0,100,,50,,50,,50
2010-09-04,1.3005268169724835,50,,50,0.0,100,,50,,50,,50
2010-09-05,1.2545489325098542,50,,50,0.0,100,,50,,50,,50
2010-09-06,1.2395857261102963,50,,50,0.0,100,,50,,50,,50
2010-09-07,1.20556049588944,50,,50,0.0,100,,50,,50,,50
2010-09-08,1.18131091089397,50,,50,0.0,100,,50,,50,,50
2010-09-09,1.1436386739653133,50,,50,0.0,100,,50,,50,,50
2010-09-10,1.123865462182363,50,,50,0.0,100,,50,,50,,50
2010-09-11,1.1903332936119022,50,,50,0.0,100,,50,,50,,50
2010-09-12,1.1037139647109617,50,,50,0.0,100,,50,,50,,50
2010-09-13,1.1075321243128664,50,,50,0.0,100,,50,,50,,50
2010-09-14,1.0826803818479895,50,,50,0.0,100,,50,,50,,50
2010-09-15,1.0052950978798811,50,,50,0.0,100,,50,,50,,50
2010-09-16,1.0142364376263013,50,,50,0.0,100,,50,,50,,50
2010-09-17,0.899240540367986,50,,50,0.0,100,,50,,50,,50
2010-09-18,0.9104859845904199,50,,50,0.0,100,,50,,50,,50
2010-09-19,0.9408420029942997,50,,50,0.0,100,,50,,50,,50
2010-09-20,0.9104672708251077,50,,50,0.0,100,,50,,50,,50
2010-09-21,0.9127331002781999,50,,50,0.0,100,,50,,50,,50
2010-09-22,0.8785099785785223,50,,50,0.0,100,,50,,50,,50
2010-09-23,0.8677032636817528,50,,50,0.0,100,,50,,50,,50
2010-09-24,0.8533376447811779,50,,50,0.0,100,,50,,50,,50
2010-09-25,0.8343754871813538,50,,50,0.0,100,,50,,50,,50
2010-09-26,0.8213680132089491,50,,50,0.0,100,,50,,50,,50
2010-09-27,0.7876326496835571,50,,50,0.0,100,,50,,50,,50
2010-09-28,0.7007245367686992,50,,50,0.0,100,,50,,50,,50
2010-09-29,0.6887664447892696,50,,50,0.0,100,,50,,50,,50
2010-09-30,0.6536003845071133,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-01,0.6476038574681547,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-02,0.5234747506403916,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-03,0.5121236334550042,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-04,0.5105411179824685,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-05,0.48453226873820676,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-06,0.5065010938182052,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-07,0.579047529279917,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-08,0.8812325739397504,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-09,0.9863894586897906,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-10,1.0071241930609458,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-11,0.9350977894155823,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-12,0.9167911488599738,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-13,1.0442869046447432,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-14,0.9664306623137654,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-15,0.9603860390732109,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-16,0.8494073931717931,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-17,0.8465385100971521,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-18,0.8332257604784299,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-19,0.7430703368759336,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-20,0.7475441392266526,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-21,0.8248115690506597,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-22,0.7484818063259451,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-23,0.7622241291095352,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-24,0.8794093949848159,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-25,1.1815025536377217,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-26,1.285473849379221,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-27,1.6525907409726468,0,,50,1.9000876638925774,100,,50,,50,,50
2010-10-28,1.3326292615361028,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-29,1.4835324098875318,50,,50,1.9000876638925774,100,,50,,50,,50
2010-10-30,1.5190447498452222,0,,50,1.9000876638925774,100,,50,,50,,50
2010-10-31,1.4040309376540472,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-01,1.3944827163782876,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-02,1.3413829527010321,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-03,1.3010710935565029,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-04,1.5166669175943652,0,,50,59.235888261639275,50,,50,,50,,50
2010-11-05,1.7340574424129942,0,,50,59.235888261639275,50,,50,,50,,50
2010-11-06,2.5217643197713557,0,,50,59.235888261639275,50,,50,,50,,50
2010-11-07,1.9293607851891257,0,,50,59.235888261639275,50,,50,,50,,50
2010-11-08,1.0624373470985486,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-09,0.8464560803200635,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-10,0.9258046106063594,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-11,0.8631774439569443,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-12,1.1804364488780839,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-13,1.1990570751922285,50,,50,59.235888261639275,50,,50,,50,,50
2010-11-14,1.1809359705698494,50,,50,59.235888261639275,50,,50,,50,,50
